exercise_id,exercise_unique_name,alternative_type,alternative_exercise_id,alternative_exercise_unique_name
5fa2b2b95ed0de000845aa8a,ALTERNATING LEG RAISE WITH CRUNCH,SCALE_DOWN,5fbbaaab0dd22200086aec9e,ALTERNATING LEG RAISES
5fa2b2b95ed0de000845aa8a,ALTERNATING LEG RAISE WITH CRUNCH,SCALE_UP,5fa2b3135ed0de000845ab6a,V SITUPS
5fa2b2ba5ed0de000845aa8d,CABLE MACHINE CROSSOVER LOWER CHEST,SAME_LEVEL,5fe435788e933e00085860ef,DUMBBELLS DOUBLE ARM CHEST FLYS
5fa2b2ba5ed0de000845aa8d,CABLE MACHINE CROSSOVER LOWER CHEST,SCALE_DOWN,5fa2b2df5ed0de000845aaee,MACHINE CHEST FLYES
5fa2b2ba5ed0de000845aa8f,CABLE MACHINE CROSSOVER UPPER CHEST,SAME_LEVEL,5fe435788e933e00085860ef,DUMBBELLS DOUBLE ARM CHEST FLYS
5fa2b2ba5ed0de000845aa8f,CABLE MACHINE CROSSOVER UPPER CHEST,SCALE_DOWN,5fa2b2df5ed0de000845aaee,MACHINE CHEST FLYES
5fa2b2ba5ed0de000845aa8f,CABLE MACHINE CROSSOVER UPPER CHEST,SCALE_UP,5fcf68e1eb092800089e43b2,
5fa2b2bb5ed0de000845aa91,STANDING CABLE FACE PULLS,SCALE_DOWN,5fa2b2ff5ed0de000845ab3d,BENT OVER Y RAISES
5fa2b2bb5ed0de000845aa91,STANDING CABLE FACE PULLS,SCALE_UP,5fa2b2c25ed0de000845aaa1,
5fa2b2bc5ed0de000845aa95,STANDING SINGLE ARM NEUTRAL GRIP CABLE ROWS,SCALE_DOWN,5fbbaae80dd22200086aedb7,SEATED BACK ROWS
5fa2b2bc5ed0de000845aa95,STANDING SINGLE ARM NEUTRAL GRIP CABLE ROWS,SCALE_UP,5fa2b2a85ed0de000845aa66,BARBELL BENT OVER ROWS
5fa2b2bc5ed0de000845aa95,STANDING SINGLE ARM NEUTRAL GRIP CABLE ROWS,SCALE_UP,5fa96ab3fbc7f9000848fd73,DUMBBELL SINGLE ARM BENT OVER ROW
