exerciseId,uniqueName
5fa96b80fbc7f9000848fe86,PULSE SQUAT
5fa96baffbc7f9000848febb,BIRD DOG
5fa96bb0fbc7f9000848febc,SUPERMAN HOLD
5fa96bb3fbc7f9000848febf,PRONE YTW
5fa96d10fbc7f9000848ff00,DUMBBELL IPSILATERAL OVERHEAD REVERSE LUNGE
5fa96d72fbc7f9000848ffa9,BARBELL BACK SQUAT
5fa96d8efbc7f9000848ffe1,BARBELL FRONT SQUAT
5fa96da4fbc7f90008490008,BARBELL SPLIT STANCE OVERHEAD PRESS
5fa96e0ffbc7f9000849009f,DUMBBELL BENCH PULLOVER
5fa96e46fbc7f90008490108,DUMBBELLS DOUBLE ARM ROMANIAN DEADLIFT
5fa96ee7fbc7f900084901f1,BARBELL STANDING TRICEP EXTENSION
5fbbaa770dd22200086aebaf,DUMBBELL SINGLE ARM CROSSBODY CURL
5fbbaa7a0dd22200086aebbe,DUMBBELL SINGLE ARM FRONT RAISE
5fbbaa7d0dd22200086aebcc,BARBELL CLOSE GRIP BICEPS CURL
5fbbaa860dd22200086aebf8,BENCH BARBELL GLUTE BRIDGE
5fbbaa910dd22200086aec26,DUMBBELLS ALTERNATING FRONT RAISES
5fbbaa930dd22200086aec2c,DUMBBELL SINGLE ARM BICEP CURLS
5fbbaa950dd22200086aec36,BENCH SEATED DUMBBELLS ALTERNATING BICEPS CURL
5fbbaa9b0dd22200086aec58,BARBELL REVERSE LUNGE
5fbbaa9e0dd22200086aec69,BARBELL OVERHEAD REVERSE LUNGE
5fbbaaa00dd22200086aec72,BARBELL SHRUGS
5fbbaaa40dd22200086aec83,DUMBBELL SINGLE ARM ZOTTMAN CURLS
5fbbaaa60dd22200086aec89,BEAST LOAD AND UNLOAD
5fbbaaa60dd22200086aec8a,DUMBBELLS DOUBLE ARM REVERSE CURLS
5fbbaaab0dd22200086aec9e,ALTERNATING LEG RAISES
5fbbaaab0dd22200086aeca0,REVERSE CRUNCH
5fbbaaac0dd22200086aeca1,STRAIGHT BAR PRONATED GRIP CABLE FRONT RAISES
