hercules_exercise_id,alternative_type,hercules_alternative_exercise_id
5fa2b2cc5ed0de000845aaba,SCALE_UP,5fa2b2ef5ed0de000845ab15
5fa2b2cd5ed0de000845aabb,SAME_LEVEL,5fa2b2ef5ed0de000845ab15
5fa2b2cd5ed0de000845aabc,SAME_LEVEL,5fa2b2ef5ed0de000845ab15
5fa2b2cf5ed0de000845aac0,SAME_LEVEL,5fbbaaab0dd22200086aec9e
5fa2b2cf5ed0de000845aac0,SCALE_UP,5fa2b2fc5ed0de000845ab39
5fa2b2d25ed0de000845aac5,SAME_LEVEL,5fa2b2d75ed0de000845aacf
5fa2b2d25ed0de000845aac5,SCALE_UP,5fa2b2d65ed0de000845aace
5fa2b2d55ed0de000845aacb,SCALE_DOWN,5fa2b2ff5ed0de000845ab3d
5fa2b2d65ed0de000845aace,SAME_LEVEL,5fa2b2d25ed0de000845aac5
5fa2b2d65ed0de000845aace,SCALE_DOWN,5fa2b2b35ed0de000845aa82
5fa2b2d75ed0de000845aacf,SAME_LEVEL,5fa2b2d85ed0de000845aad1
5fa2b2d75ed0de000845aad0,SCALE_DOWN,5fa2b2b25ed0de000845aa7f
5fa2b2d85ed0de000845aad1,SAME_LEVEL,5fa2b2d75ed0de000845aacf
5fa2b2dd5ed0de000845aae6,SAME_LEVEL,5fa2b2c65ed0de000845aab0
5fa2b2dd5ed0de000845aae6,SCALE_DOWN,5fbbaaed0dd22200086aedcb
5fa2b2dd5ed0de000845aae6,SCALE_UP,5fbbaadf0dd22200086aed91
5fa2b2dd5ed0de000845aae6,SCALE_UP,5fbbaae70dd22200086aedb1
5fa2b2de5ed0de000845aaea,SCALE_UP,5fa2b2a85ed0de000845aa66
5fa2b2de5ed0de000845aaea,SCALE_UP,5fa96ab3fbc7f9000848fd73
5fa2b2df5ed0de000845aaec,SCALE_DOWN,5fa2b2b35ed0de000845aa82
5fa2b2df5ed0de000845aaec,SCALE_UP,5fa96d72fbc7f9000848ffa9
5fa2b2df5ed0de000845aaee,SCALE_DOWN,5fa2b2e05ed0de000845aaf0
5fa2b2df5ed0de000845aaee,SCALE_UP,5fa2b2a85ed0de000845aa63
5fa2b2df5ed0de000845aaee,SCALE_UP,5fe435788e933e00085860ef
5fa2b2e05ed0de000845aaf0,SCALE_UP,5fa2b2a85ed0de000845aa63
5fa2b2e05ed0de000845aaf0,SCALE_UP,5fbbaab70dd22200086aecd1
5fa2b2e15ed0de000845aaf4,SCALE_UP,5fa2b2c25ed0de000845aaa1
5fa2b2e15ed0de000845aaf6,SAME_LEVEL,5fe1cefbc1dab40008a2643c
5fa2b2e15ed0de000845aaf6,SCALE_DOWN,5fbbaa7a0dd22200086aebbe
5fa2b2e15ed0de000845aaf6,SCALE_UP,5fbbaacb0dd22200086aed2b
5fa2b2e15ed0de000845aaf6,SCALE_UP,5fbbaacc0dd22200086aed31
5fa2b2e45ed0de000845aaff,SAME_LEVEL,5fc74a667fdbe600083487f5
5fa2b2e45ed0de000845aaff,SCALE_DOWN,5fe1cf1f5d5d0e0008ea52e2
5fa2b2e55ed0de000845ab01,SAME_LEVEL,5fcf68e0785ab9000895cfa6
5fa2b2e55ed0de000845ab01,SCALE_DOWN,5fbbaafe0dd22200086aee0c
5fa2b2e55ed0de000845ab01,SCALE_UP,5fe1cf18053901000829e2ae
5fa2b2e75ed0de000845ab04,SAME_LEVEL,5fa2b2e75ed0de000845ab05
5fa2b2e75ed0de000845ab04,SCALE_DOWN,5fbbaafe0dd22200086aee0c
5fa2b2e75ed0de000845ab04,SCALE_UP,5fa2b2ea5ed0de000845ab0a
5fa2b2e75ed0de000845ab05,SCALE_DOWN,5fbbaafe0dd22200086aee0c
5fa2b2e75ed0de000845ab05,SCALE_UP,5fe1cf18053901000829e2ae
5fa2b2ea5ed0de000845ab0a,SCALE_DOWN,5fa2b3095ed0de000845ab51
5fa2b2ea5ed0de000845ab0b,SCALE_DOWN,5fa2b3085ed0de000845ab4e
5fa2b2eb5ed0de000845ab0c,SCALE_UP,5fa2b2d75ed0de000845aad0
5fa2b2ec5ed0de000845ab0e,SAME_LEVEL,5fa2b2e75ed0de000845ab04
5fa2b2ec5ed0de000845ab0e,SCALE_DOWN,5fa2b3095ed0de000845ab51
5fa2b2ee5ed0de000845ab13,SCALE_DOWN,5fa2b2b25ed0de000845aa80
5fa2b2ee5ed0de000845ab13,SCALE_UP,5fe435768d8324000831e63f
5fa2b2ee5ed0de000845ab14,SCALE_DOWN,5fa2b2ca5ed0de000845aab9
5fa2b2ef5ed0de000845ab15,SCALE_UP,5fa2b2ee5ed0de000845ab14
5fa2b2f15ed0de000845ab1a,SCALE_DOWN,5fa2b2e05ed0de000845aaf0
5fa2b2f15ed0de000845ab1a,SCALE_UP,5fa2b2a85ed0de000845aa63
5fa2b2f15ed0de000845ab1a,SCALE_UP,5fbbaab70dd22200086aecd1
5fa2b2f35ed0de000845ab22,SCALE_DOWN,5fa2b2e05ed0de000845aaf0
5fa2b2f35ed0de000845ab22,SCALE_UP,5fbbaad10dd22200086aed4a
5fa2b2f35ed0de000845ab24,SAME_LEVEL,5fbbaacc0dd22200086aed31
5fa2b2f35ed0de000845ab24,SCALE_DOWN,5fa2b2e15ed0de000845aaf6
5fa2b2f35ed0de000845ab24,SCALE_UP,5fbbaacb0dd22200086aed2b
5fa2b2f35ed0de000845ab24,SCALE_UP,5fbbaacc0dd22200086aed31
5fa2b2f65ed0de000845ab2c,SCALE_DOWN,5fa2b2e15ed0de000845aaf6
5fa2b2f65ed0de000845ab2e,SCALE_DOWN,5fa2b2e75ed0de000845ab05
5fa2b2f65ed0de000845ab2e,SCALE_DOWN,5fbbaafe0dd22200086aee0c
5fa2b2f75ed0de000845ab30,SAME_LEVEL,5fa2b30c5ed0de000845ab56
5fa2b2f75ed0de000845ab30,SCALE_UP,5fa2b2b65ed0de000845aa87
5fa2b2fa5ed0de000845ab34,SCALE_DOWN,5fa2b2ca5ed0de000845aab9
5fa2b2fa5ed0de000845ab34,SCALE_DOWN,5fa2b3065ed0de000845ab4a
5fa2b2fc5ed0de000845ab39,SAME_LEVEL,5fa2b2bd5ed0de000845aa97
5fa2b2fc5ed0de000845ab39,SCALE_DOWN,5fa2b2b75ed0de000845aa89
5fa2b2fc5ed0de000845ab39,SCALE_UP,5fa2b2b95ed0de000845aa8a
5fa2b2fe5ed0de000845ab3c,SAME_LEVEL,5fa2b2d45ed0de000845aaca
5fa2b2ff5ed0de000845ab3d,SCALE_UP,5fa2b2d55ed0de000845aacb
5fa2b2ff5ed0de000845ab3e,SAME_LEVEL,5fa96bb3fbc7f9000848febf
5fa2b3005ed0de000845ab40,SAME_LEVEL,5fa2b3045ed0de000845ab46
5fa2b3005ed0de000845ab40,SCALE_DOWN,5fa2b2b35ed0de000845aa82
5fa2b3005ed0de000845ab40,SCALE_DOWN,5fa2b3045ed0de000845ab46
5fa2b3045ed0de000845ab46,SCALE_DOWN,5fa96baffbc7f9000848febb
5fa2b3045ed0de000845ab46,SCALE_UP,5fa2b2a95ed0de000845aa6a
